WELL_LOG_NO,WELL_SCREEN_ID,SCREEN_DIAM,SCREEN_TYPE_CODE,SCREEN_MAT_CODE,SCREEN_SLOT_SIZE,SCREENED_INTERVAL_FROM,SCREENED_INTERVAL_TO,SCREEN_LENGTH
910698,21001,,,,0.015,128.0,132.0,4.0
910719,21003,,,,0.015,79.0,84.0,5.0
910714,21005,,,,0.02,72.0,76.0,4.0
922390,21019,,,,0.015,129.0,134.0,5.0
914895,21020,,,,0.02,76.0,79.0,3.0
908134,21021,6.000,CWW,STA,0.02,121.0,131.0,10.0
908159,21022,,,,0.015,97.0,102.0,5.0
908198,21023,,,,0.015,73.0,77.0,4.0
908149,21024,,,,0.015,120.0,124.0,4.0
910199,21025,,,,0.02,146.0,150.0,4.0
865059,21026,,,,0.02,72.0,76.0,4.0
873247,21027,,,,0.02,76.0,79.0,3.0
883227,21028,,,,0.02,148.0,153.0,5.0
897840,21029,,,,0.015,135.0,139.0,4.0
910203,21031,,,,0.02,91.0,95.0,4.0
919239,21033,,,,0.02,122.0,125.0,3.0
919248,21034,,,,0.02,98.0,101.0,3.0
877562,21035,,,,0.02,119.0,122.0,3.0
877559,21036,,,,0.02,88.0,91.0,3.0
910190,21037,,,,0.02,56.0,60.0,4.0
865122,21038,,,,0.02,68.0,72.0,4.0
873249,21039,,,,0.015,88.0,92.0,4.0
878807,21040,,,,0.018,66.0,70.0,4.0
910205,21041,,,,0.02,91.0,95.0,4.0
865148,21042,,,,0.02,39.0,43.0,4.0
865130,21043,,,,0.02,120.0,124.0,4.0
865141,21044,,,,0.02,58.0,62.0,4.0
865084,21045,,,,0.02,91.0,95.0,4.0
929638,21046,,,,0.015,113.0,118.0,5.0
865061,21047,,,,0.02,101.0,105.0,4.0
934147,21049,,,,0.02,56.0,60.0,4.0
962655,21062,,,,0.02,105.0,108.0,3.0
964606,21063,,,,0.02,140.0,144.0,4.0
964605,21070,,,,0.02,56.0,60.0,4.0
962672,21073,,,,0.015,57.0,62.0,5.0
962644,21085,,,,,131.0,134.0,3.0
966276,21173,,,,0.02,92.0,95.0,3.0
966278,21174,,,,0.02,112.0,115.0,3.0
966277,21175,,,,0.02,108.0,111.0,3.0
962636,21193,,,,0.02,167.0,170.0,3.0
962637,21194,,,,0.015,104.0,109.0,5.0
967753,21199,,,,0.025,92.0,96.0,4.0
966336,21209,,,,0.15,125.0,130.0,5.0
966338,21211,,,,0.2,59.0,62.0,3.0
966301,21238,,,,0.2,124.0,127.0,3.0
958151,21243,,,,0.02,144.0,148.0,4.0
966333,21283,,,,,75.0,80.0,5.0
966330,21295,,,,,168.0,172.0,4.0
748316,21296,,,,0.04,55.0,59.0,
748317,21297,,,,0.3,66.0,70.0,4.0
966340,21300,,,,0.15,44.0,47.0,3.0
962622,21401,,,,0.02,,,3.0
964609,21523,,,,0.02,57.0,61.0,4.0
962678,21525,,,,0.02,137.0,140.0,3.0
962624,21545,,,,0.015,206.0,209.0,3.0
773973,21572,,,,0.25,111.0,115.0,4.0
966351,21587,,,,0.02,112.0,115.0,3.0
966349,21588,,,,0.02,105.0,108.0,3.0
962682,21664,,,,,78.0,81.0,3.0
962665,21715,,,,0.02,74.0,77.0,3.0
910255,21729,5.000,CWW,PVC,0.02,60.0,64.0,4.0
910256,21730,5.000,CWW,PVC,0.02,57.0,65.0,8.0
910254,21731,,,,0.02,63.0,67.0,4.0
966409,21812,,,,0.02,86.0,89.0,3.0
953355,21861,,,,0.01,77.0,82.0,5.0
964617,21953,,,,0.02,59.0,63.0,4.0
974813,21980,4.000,CWW,STA,0.02,224.0,228.0,4.0
2086232,22007,5.000,CWW,STA,0.02,190.0,195.0,5.0
1020940,22214,6.000,CWW,STA,15.0,182.0,187.0,5.0
2080169,22311,2.000,MAC,PVC,0.01,4.0,14.0,10.0
974789,22380,6.000,CWW,STA,0.015,162.0,167.0,5.0
974788,22381,4.000,CWW,STA,0.02,138.0,141.0,3.0
2083893,22569,6.000,MAC,PVC,0.025,60.0,65.0,5.0
1021579,22604,4.000,CWW,STA,14.0,51.0,55.0,4.0
1021580,22605,4.000,CWW,STA,20.0,87.0,91.0,4.0
863556,22690,4.000,CWW,STA,0.02,136.0,139.0,3.0
2067839,22717,6.000,MAC,PVC,0.025,135.0,140.0,5.0
800067,22747,4.000,CWW,STA,0.02,104.0,107.0,3.0
974833,22865,6.000,CWW,STA,0.015,160.0,165.0,5.0
974826,22868,6.000,CWW,STA,0.02,100.0,108.0,8.0
974830,22869,4.000,CWW,STA,0.02,79.0,82.0,3.0
1021020,22887,4.000,CWW,STA,0.02,53.0,56.0,3.0
925570,22949,,,,0.018,77.0,81.0,4.0
929660,22952,,,,0.02,83.0,86.0,3.0
929662,22958,,,,0.02,91.0,94.0,3.0
929664,22959,,,,0.02,104.0,107.0,3.0
925571,22991,,,,0.01,65.0,70.0,5.0
925574,22992,,,,0.02,52.0,56.0,4.0
929651,22993,,,,0.015,99.0,104.0,6.0
926288,23078,,,,0.02,157.0,160.0,3.0
903705,23079,,,,0.015,97.0,101.0,4.0
886807,23080,,,,0.015,187.0,192.0,5.0
897842,23081,,,,0.02,84.0,87.0,3.0
903711,23082,,,,0.02,61.0,64.0,3.0
914869,23083,,,,0.02,106.0,109.0,3.0
914870,23084,,,,0.015,118.0,122.0,4.0
886803,23085,,,,0.02,120.0,123.0,3.0
910736,23086,,,,0.02,176.0,180.0,4.0
883250,23087,,,,0.015,179.0,184.0,5.0
908190,23088,,,,0.02,112.0,115.0,3.0
910709,23089,,,,0.02,69.0,72.0,3.0
910679,23090,,,,0.02,179.0,182.0,3.0
922378,23100,,,,0.02,45.0,48.0,3.0
878810,23121,,,,0.018,162.0,166.0,4.0
878811,23124,,,,0.018,59.0,63.0,4.0
886727,23125,,,,0.02,184.0,187.0,3.0
908196,23128,,,,0.015,171.0,176.0,5.0
873211,23133,,,,0.015,190.0,193.0,3.0
886737,23134,,,,0.02,72.0,75.0,3.0
865095,23135,,,,0.02,68.0,72.0,4.0
892080,23136,,,,0.02,74.0,77.0,3.0
892068,23137,,,,0.02,90.0,93.0,3.0
886836,23138,,,,0.02,92.0,95.0,3.0
886806,23139,,,,0.02,190.0,195.0,5.0
908163,23140,,,,0.02,78.0,88.0,10.0
873723,23141,,,,0.01,44.0,46.0,3.0
910774,23142,,,,0.02,195.0,199.0,4.0
897882,23143,,,,0.02,121.0,124.0,3.0
910725,23144,,,,0.02,156.0,160.0,4.0
910762,23145,,,,0.02,150.0,153.0,3.0
878801,23204,,,,0.018,134.0,138.0,4.0
910727,23212,,,,0.02,87.0,90.0,3.0
919249,23213,,,,0.02,156.0,159.0,3.0
878820,23214,,,,0.018,143.0,147.0,4.0
865067,23217,,,,0.02,86.0,90.0,4.0
910210,23219,,,,0.02,104.0,108.0,4.0
897854,23221,,,,0.02,79.0,82.0,3.0
908128,23223,,,,0.02,83.0,86.0,3.0
922413,23224,,,,0.15,104.0,108.0,4.0
897877,23225,,,,0.02,249.0,255.0,6.0
919241,23226,,,,0.02,154.0,158.0,4.0
922366,23227,,,,0.02,87.0,91.0,4.0
910200,23228,,,,0.02,53.0,57.0,4.0
919223,23229,,,,0.02,58.0,62.0,4.0
886801,23230,,,,0.02,69.0,72.0,3.0
926269,23231,,,,0.02,121.0,124.0,3.0
919245,23232,,,,0.02,98.0,103.0,5.0
886749,23233,,,,0.15,75.0,80.0,5.0
903698,23234,,,,0.02,153.0,157.0,4.0
926257,23235,,,,0.015,116.0,121.0,5.0
897849,23236,,,,0.15,78.0,81.0,3.0
922386,23237,,,,0.02,131.0,134.0,3.0
903713,23238,,,,0.02,164.0,167.0,3.0
897848,23239,,,,0.15,99.0,102.0,3.0
903710,23240,,,,0.02,57.0,60.0,3.0
873161,23241,,,,0.06,82.0,87.0,15.0
877583,23242,4.000,CWW,STA,0.02,119.0,122.0,3.0
886797,23243,,,,0.02,188.0,191.0,3.0
926308,23244,,,,0.15,89.0,93.0,4.0
919181,23245,,,,0.02,219.0,223.0,4.0
922402,23246,,,,0.02,162.0,165.0,3.0
929630,23247,,,,0.02,169.0,172.0,3.0
912543,23248,,,,0.025,179.0,184.0,5.0
922367,23250,,,,0.02,127.0,130.0,3.0
926261,23251,,,,0.02,104.0,107.0,3.0
877536,23252,,,,0.02,92.0,95.0,3.0
919222,23253,4.000,CWW,STA,0.02,76.0,80.0,4.0
922415,23254,,,,0.015,72.0,76.0,4.0
873250,23255,4.000,CWW,STA,0.02,65.0,68.0,3.0
886760,23256,,,,0.02,138.0,141.0,3.0
929627,23257,,,,0.02,66.0,71.0,5.0
873158,23258,,,,0.015,76.0,80.0,4.0
929633,23259,,,,0.02,147.0,150.0,3.0
873240,23260,,,,0.02,105.0,108.0,3.0
892072,23261,,,,0.02,63.0,66.0,3.0
865092,23262,,,,0.02,59.0,63.0,4.0
865129,23263,,,,0.02,132.0,136.0,4.0
868468,23265,,,,0.018,61.0,65.0,4.0
868463,23266,,,,0.016,89.0,93.0,4.0
934089,23330,,,,0.2,130.0,133.0,3.0
934091,23331,,,,0.2,157.0,160.0,3.0
908203,23369,,,,0.02,105.0,108.0,3.0
903722,23370,,,,0.02,146.0,149.0,3.0
892038,23371,,,,0.02,90.0,93.0,3.0
903700,23372,,,,0.02,101.0,111.0,10.0
875771,23373,5.000,CWW,STA,0.015,53.0,57.0,4.0
897900,23374,,,,0.02,103.0,107.0,4.0
908169,23375,,,,0.015,79.0,84.0,5.0
929628,23382,,,,0.02,119.0,122.0,3.0
873167,23385,,,,0.02,118.0,121.0,3.0
868452,23387,,,,0.02,98.0,102.0,4.0
865127,23389,,,,0.02,86.0,90.0,4.0
865114,23390,,,,0.02,151.0,155.0,4.0
865097,23391,,,,0.02,75.0,79.0,4.0
865121,23392,,,,0.02,143.0,147.0,4.0
877620,23426,,,,0.015,101.0,106.0,5.0
873171,23427,,,,0.015,140.0,145.0,6.0
873203,23428,6.000,CWW,FIB,0.015,138.0,143.0,5.0
919243,23429,,,,0.02,106.0,109.0,3.0
873177,23430,,,,0.02,120.0,123.0,3.0
873202,23431,6.000,CWW,STA,0.015,136.0,142.0,6.0
910773,23434,,,,0.02,121.0,124.0,3.0
873233,23435,,,,0.02,54.0,57.0,5.0
877584,23436,,,,0.015,127.0,131.0,4.0
883211,23437,,,,0.015,118.0,122.0,4.0
865093,23439,,,,0.02,86.0,90.0,4.0
865144,23441,,,,0.02,35.0,39.0,4.0
873162,23443,,,,0.02,59.0,62.0,4.0
873206,23444,,,,0.02,105.0,108.0,3.0
922352,23445,,,,0.02,142.0,145.0,3.0
919217,23446,,,,0.02,71.0,74.0,3.0
910721,23447,,,,0.02,147.0,151.0,4.0
962687,23537,,,,0.02,231.0,236.0,5.0
964608,23561,,,,0.02,72.0,76.0,4.0
966252,23562,,,,0.03,187.0,217.0,20.0
966253,23563,,,,0.02,195.0,210.0,15.0
966255,23564,,,,0.015,149.0,153.0,4.0
962669,23582,,,,0.02,88.0,91.0,3.0
962664,23583,,,,0.02,92.0,95.0,3.0
964607,23600,,,,0.02,40.0,44.0,4.0
962676,23602,,,,0.02,112.0,115.0,3.0
966357,23626,,,,0.15,75.0,80.0,5.0
966326,23654,,,,0.15,201.0,205.0,4.0
966324,23655,,,,0.15,237.0,242.0,5.0
966328,23656,,,,0.15,34.0,39.0,5.0
773975,23779,,,,0.025,143.0,147.0,4.0
962680,23780,,,,0.02,67.0,70.0,3.0
966359,23806,,,,0.02,63.0,66.0,3.0
966334,23819,,,,0.2,104.0,107.0,3.0
966361,23825,,,,0.2,148.0,151.0,3.0
967728,23826,,,,0.25,54.0,58.0,4.0
966292,23884,,,,0.15,85.0,90.0,5.0
962693,23953,4.000,CWW,STA,0.02,185.0,188.0,3.0
953360,23957,,,,0.015,69.0,73.0,4.0
962691,23972,,,,,71.0,74.0,3.0
962696,23973,,,,0.015,110.0,114.0,4.0
964614,24009,,,,0.02,130.0,134.0,4.0
964615,24019,,,,0.02,116.0,120.0,4.0
958157,24020,5.000,CWW,PVC,0.02,76.0,80.0,4.0
960043,24065,,,,0.05,121.0,126.0,5.0
966257,24077,,,,0.015,101.0,106.0,5.0
953359,24118,,,,0.018,45.0,50.0,5.0
2070084,24323,2.000,MAC,PVC,0.01,5.0,15.0,10.0
2070086,24324,2.000,MAC,PVC,0.01,5.0,15.0,10.0
2081433,24334,2.000,MAC,PVC,0.01,22.0,32.0,10.0
2076201,24364,2.000,MAC,PVC,0.01,6.0,16.0,10.0
1020986,24548,6.000,CWW,STA,15.0,88.0,93.0,5.0
1020983,24549,6.000,CWW,STA,15.0,118.0,121.0,3.0
2066482,24616,5.000,MAC,PVC,0.02,113.0,118.0,5.0
2069234,24711,2.000,MAC,PVC,0.01,2.0,12.2,10.0
2075955,24751,2.000,MAC,PVC,0.01,17.0,27.0,10.0
910219,24846,,,,0.02,122.0,126.0,4.0
910218,24854,,,,0.02,62.0,66.0,4.0
748309,24883,,,,0.03,148.0,152.0,4.0
865115,24893,,,,0.02,49.0,53.0,4.0
919220,24894,,,,0.02,131.0,136.0,5.0
926344,24897,,,,0.02,80.0,94.0,3.0
877563,24899,,,,0.2,75.0,78.0,3.0
877531,24900,,,,0.015,75.0,79.0,4.0
873180,24905,,,,0.02,76.0,80.0,4.0
908210,24955,,,,0.015,113.0,117.0,4.0
908211,24956,,,,0.015,59.0,63.0,4.0
908165,24957,,,,0.02,147.0,150.0,3.0
929672,25056,,,,0.02,239.0,244.0,5.0
875751,25062,,,,0.07,67.0,74.0,8.0
910206,25063,,,,0.02,38.0,42.0,4.0
865135,25064,,,,0.02,48.0,52.0,4.0
910213,25086,,,,0.02,104.0,107.0,4.0
910215,25088,,,,0.02,46.0,50.0,4.0
868462,25089,,,,0.016,95.0,99.0,4.0
878825,25091,,,,0.02,117.0,121.0,4.0
910557,25093,,,,0.03,81.0,83.0,3.0
910552,25094,,,,0.02,67.0,70.0,3.0
910551,25095,,,,0.01,86.0,90.0,4.0
865136,25096,,,,0.02,40.0,44.0,4.0
878824,25097,,,,0.016,54.0,58.0,4.0
871860,25098,,,,0.01,47.0,52.0,5.0
891414,25100,,,,0.025,116.0,121.0,5.0
912514,25101,,,,0.025,153.0,158.0,5.0
865139,25102,,,,0.02,66.0,70.0,4.0
865147,25103,,,,0.02,67.0,71.0,4.0
865137,25104,5.000,CWW,PVC,0.02,85.0,89.0,4.0
910189,25105,,,,0.02,41.0,45.0,4.0
748306,25106,,,,0.03,98.0,102.0,4.0
910216,25107,,,,0.02,54.0,58.0,4.0
865112,25108,5.000,CWW,PVC,0.02,56.0,60.0,4.0
748305,25109,5.000,CWW,STA,0.025,73.0,77.0,9.0
865078,25110,5.000,CWW,PVC,0.02,68.0,72.0,4.0
934142,25112,,,,0.02,127.0,131.0,4.0
865096,25215,5.000,CWW,PVC,0.02,86.0,90.0,4.0
865091,25216,5.000,CWW,PVC,0.02,121.0,125.0,4.0
891471,25222,6.000,MAC,PVC,0.025,160.0,165.0,5.0
910269,25224,,,,0.02,100.0,108.0,8.0
865071,25226,,,,0.02,40.0,44.0,4.0
878815,25228,,,,0.018,53.0,57.0,4.0
868466,25230,,,,0.02,135.0,139.0,4.0
910212,25233,,,,0.02,53.0,57.0,4.0
865057,25234,,,,0.02,76.0,80.0,4.0
910271,25235,,,,0.02,47.0,51.0,4.0
865077,25236,,,,0.02,76.0,80.0,4.0
877615,25237,,,,0.02,101.0,104.0,3.0
865065,25238,,,,0.02,116.0,120.0,4.0
873238,25239,4.000,CWW,STA,0.02,209.0,212.0,3.0
865066,25240,,,,0.02,41.0,45.0,4.0
865064,25241,,,,0.02,137.0,141.0,4.0
748311,25242,,,,0.03,59.0,63.0,5.0
873242,25243,4.000,CWW,STA,0.02,97.0,100.0,3.0
877604,25244,,,,0.02,99.0,102.0,3.0
840433,25245,,,,0.02,106.0,110.0,4.0
873168,25248,4.000,CWW,STA,0.02,122.0,125.0,3.0
922407,25249,,,,0.015,121.0,126.0,5.0
865076,25250,,,,0.02,50.0,54.0,4.0
865062,25251,,,,0.02,71.0,75.0,4.0
910177,25254,,,,0.02,71.0,75.0,4.0
934140,25255,0.000,CWW,STA,0.02,68.0,71.0,0.0
934141,25256,,,,0.02,200.0,204.0,4.0
910758,25308,,,,0.02,125.0,128.0,3.0
939479,25309,,,,,87.0,91.0,14.0
886745,25310,,,,0.02,136.0,139.0,3.0
873245,25311,,,,0.02,135.0,138.0,3.0
934167,25340,,,,0.02,79.0,82.0,3.0
934165,25341,,,,0.02,120.0,123.0,3.0
934168,25342,,,,0.02,99.0,104.0,5.0
868473,25343,,,,0.018,76.0,80.0,4.0
926324,25351,,,,0.02,88.0,93.0,5.0
886796,25353,4.000,CWW,STA,0.015,65.0,69.0,4.0
919237,25354,,,,0.02,95.0,99.0,4.0
910754,25356,,,,0.02,97.0,100.0,3.0
910732,25358,,,,0.02,106.0,109.0,3.0
910756,25359,,,,0.02,68.0,71.0,3.0
922409,25360,,,,0.2,95.0,100.0,5.0
910750,25361,,,,0.015,185.0,188.0,3.0
897887,25362,,,,0.02,52.0,55.0,3.0
892094,25363,6.000,CWW,STA,0.015,31.0,34.0,3.0
926256,25364,,,,0.015,149.0,154.0,5.0
922437,25365,4.000,CWW,STA,0.02,92.0,95.0,3.0
926346,25366,,,,0.02,88.0,91.0,3.0
922439,25367,,,,0.05,94.0,97.0,3.0
903685,25368,,,,0.02,57.0,60.0,3.0
910198,25369,,,,0.02,56.0,60.0,4.0
919216,25370,,,,0.02,143.0,146.0,3.0
910193,25371,,,,0.02,104.0,108.0,4.0
903686,25372,,,,0.02,58.0,61.0,3.0
910722,25373,4.000,CWW,STA,0.02,88.0,92.0,4.0
908154,25374,,,,0.2,78.0,81.0,3.0
903708,25375,,,,0.02,52.0,55.0,3.0
903693,25376,4.000,CWW,STA,0.015,118.0,122.0,4.0
922429,25377,,,,0.02,77.0,80.0,3.0
883159,25378,,,,0.02,105.0,108.0,3.0
897861,25379,,,,0.02,202.0,205.0,3.0
926306,25380,,,,0.02,81.0,85.0,4.0
929640,25381,,,,0.02,48.0,53.0,5.0
897803,25382,4.000,CWW,STA,0.015,115.0,119.0,4.0
897804,25383,,,,0.02,97.0,100.0,3.0
926348,25384,,,,0.02,88.0,91.0,3.0
892046,25385,,,,0.15,65.0,70.0,5.0
915637,25441,6.000,MAC,PVC,0.03,139.0,147.0,8.0
915636,25442,,,,0.03,146.0,158.0,12.0
910207,25443,5.000,CWW,PVC,0.02,85.0,89.0,4.0
868455,25446,,,,0.016,56.0,60.0,4.0
892011,25450,,,,0.02,158.0,161.0,3.0
886828,25452,,,,0.02,91.0,94.0,3.0
892027,25455,,,,0.02,61.0,64.0,3.0
897832,25457,,,,0.02,84.0,87.0,3.0
865133,25459,5.000,CWW,PVC,0.02,47.0,51.0,4.0
919207,25461,,,,0.02,100.0,103.0,3.0
919186,25462,,,,0.02,76.0,79.0,3.0
922370,25463,,,,0.02,125.0,128.0,3.0
922384,25464,,,,0.02,75.0,78.0,3.0
910267,25469,,,,0.02,114.0,118.0,4.0
877621,25481,,,,0.02,73.0,76.0,3.0
883163,25485,,,,0.02,92.0,95.0,3.0
865058,25493,,,,0.02,158.0,162.0,4.0
925573,25496,,,,0.018,56.0,60.0,4.0
892096,25497,,,,0.02,52.0,55.0,3.0
903724,25499,,,,0.02,91.0,94.0,3.0
908209,25501,,,,0.02,89.0,92.0,3.0
877619,25504,,,,0.02,107.0,115.0,8.0
925565,25506,,,,0.018,99.0,103.0,4.0
925564,25507,,,,0.018,144.0,149.0,5.0
925567,25508,,,,0.02,129.0,131.0,4.0
883233,25509,4.000,CWW,STA,0.02,90.0,93.0,3.0
910266,25515,,,,0.02,68.0,72.0,4.0
910272,25517,,,,0.02,92.0,96.0,4.0
910223,25518,,,,0.02,106.0,110.0,4.0
925556,25576,,,,0.02,55.0,60.0,5.0
925555,25577,,,,0.02,103.0,108.0,5.0
910220,25578,,,,0.02,57.0,61.0,4.0
871875,25579,,,,0.01,47.0,52.0,5.0
934126,25621,,,,0.02,187.0,190.0,3.0
910268,25623,,,,0.02,61.0,65.0,4.0
878805,25627,,,,0.018,100.0,104.0,4.0
910712,25631,,,,0.015,73.0,77.0,4.0
910179,25632,,,,0.02,62.0,66.0,4.0
908155,25633,,,,0.02,75.0,79.0,3.0
897874,25634,,,,0.02,125.0,128.0,3.0
886744,25637,,,,0.02,86.0,89.0,3.0
886772,25638,8.000,CWW,STA,0.025,111.0,126.0,15.0
886773,25639,,,,0.02,108.0,113.0,5.0
886771,25640,,,,0.035,102.0,122.0,20.0
877565,25641,,,,0.02,112.0,115.0,3.0
873216,25643,,,,0.02,97.0,100.0,3.0
908207,25644,,,,0.015,79.0,83.0,4.0
919206,25645,,,,0.02,79.0,82.0,3.0
922356,25646,4.000,CWW,STA,0.02,91.0,94.0,3.0
926255,25647,,,,0.015,75.0,79.0,4.0
929649,25648,,,,0.02,91.0,94.0,3.0
908193,25649,,,,0.02,107.0,110.0,3.0
892088,25651,,,,0.02,86.0,89.0,3.0
877569,25653,,,,0.015,186.0,191.0,5.0
773960,25707,,,,,148.0,156.0,8.0
939530,25768,,,,0.15,60.0,63.0,3.0
962610,25890,,,,,82.0,85.0,3.0
966304,25919,4.000,CWW,STA,0.02,61.0,64.0,3.0
966303,26001,,,,0.2,133.0,136.0,3.0
962639,26018,,,,0.02,177.0,180.0,3.0
964618,26094,,,,0.02,56.0,60.0,4.0
966426,26103,,,,0.015,143.0,153.0,10.0
966391,26358,,,,0.015,120.0,125.0,5.0
964621,26373,5.000,CWW,PVC,0.02,82.0,90.0,8.0
980224,26374,,,,0.05,72.0,75.0,3.0
964622,26375,,,,0.02,108.0,116.0,8.0
967750,26376,,,,0.025,92.0,100.0,8.0
964623,26377,,,,0.02,80.0,84.0,4.0
980404,26403,,,,0.2,97.0,105.0,8.0
980396,26476,,,,0.02,119.0,122.0,3.0
966439,26477,,,,0.015,142.0,147.0,5.0
967729,26564,,,,0.025,46.0,50.0,4.0
1021011,26815,4.000,CWW,STA,20.0,85.0,88.0,3.0
1021009,26816,4.000,CWW,STA,20.0,100.0,103.0,3.0
2068685,26970,5.000,MAC,PVC,0.02,103.0,108.0,5.0
2083461,27022,2.000,MAC,PVC,0.01,4.0,16.0,12.0
2083469,27023,2.000,MAC,PVC,0.01,4.0,16.0,12.0
1020934,27034,6.000,CWW,STA,15.0,,,3.0
974845,27051,4.000,CWW,STA,0.02,108.0,111.0,3.0
974844,27052,6.000,CWW,STA,0.02,172.0,177.0,5.0
974846,27054,4.000,CWW,STA,0.02,75.0,78.0,3.0
939510,27238,,,,0.02,187.0,190.0,3.0
930176,27239,6.000,PRE,PVC,0.025,120.0,125.0,5.0
930179,27240,,,,0.025,77.0,82.0,5.0
939489,27251,,,,0.015,109.0,114.0,5.0
914855,27252,,,,0.02,94.0,102.0,8.0
922406,27253,,,,0.02,54.0,57.0,3.0
929675,27297,,,,0.2,75.0,78.0,3.0
939542,27452,4.000,CWW,STA,0.02,80.0,83.0,3.0
